
===== half.wav =====
[] Data chunk size = 66150
[] The number of channel = 1 (mono = 1, stereo = 2)
[] Sampling rate = 11025 [Hz or samples/sec]
[] Sample resolution = 8 [bits/sample]
[] Play time = 6.000000 [sec]
Array size : 66150
Print bin end
Index : 65536
=== END ===
==== PRINT ====
0xf7199408 real : 330.876072 / imag : 1408.687444 
0xf7199418 real : 0.000000 / imag : 0.000000 
0xf7199428 real : 6.678121 / imag : -62.849444 
0xf7199438 real : 0.000000 / imag : 0.000000 
0xf7199448 real : 94.131915 / imag : -93.978525 
0xf7199458 real : 0.000000 / imag : 0.000000 
0xf7199468 real : -35.651015 / imag : 110.554377 
0xf7199478 real : 0.000000 / imag : 0.000000 
0xf7199488 real : 17.768469 / imag : -108.753700 
0xf7199498 real : 0.000000 / imag : 0.000000 
0xf71994a8 real : 22.700058 / imag : -46.313159 
0xf71994b8 real : 0.000000 / imag : 0.000000 
0xf71994c8 real : 26.380633 / imag : 67.765019 
0xf71994d8 real : 0.000000 / imag : 0.000000 
0xf71994e8 real : 47.559336 / imag : 42.068890 
0xf71994f8 real : 0.000000 / imag : 0.000000 
0xf7199508 real : 17.360112 / imag : -197.303294 
0xf7199518 real : 0.000000 / imag : 0.000000 
0xf7199528 real : 30.726501 / imag : -44.654152 
0xf7199538 real : 0.000000 / imag : 0.000000 
0xf7199548 real : 28.837106 / imag : -42.966417 
0xf7199558 real : 0.000000 / imag : 0.000000 
0xf7199568 real : 2.094423 / imag : -7.999313 
0xf7199578 real : 0.000000 / imag : 0.000000 
0xf7199588 real : 36.249761 / imag : -73.116585 
0xf7199598 real : 0.000000 / imag : 0.000000 
0xf71995a8 real : -93.618757 / imag : 70.146136 
0xf71995b8 real : 0.000000 / imag : 0.000000 
0xf71995c8 real : -118.649271 / imag : -376.022150 
0xf71995d8 real : 0.000000 / imag : 0.000000 
0xf71995e8 real : 76.198559 / imag : 21.973616 
0xf71995f8 real : 0.000000 / imag : 0.000000 
0xf7199608 real : -3.944025 / imag : -378.505130 
0xf7199618 real : 0.000000 / imag : 0.000000 
0xf7199628 real : 18.636474 / imag : -49.339822 
0xf7199638 real : 0.000000 / imag : 0.000000 
0xf7199648 real : 126.103873 / imag : -144.252680 
0xf7199658 real : 0.000000 / imag : 0.000000 
0xf7199668 real : -0.644737 / imag : 15.357794 
0xf7199678 real : 0.000000 / imag : 0.000000 
0xf7199688 real : 233.832347 / imag : -41.770999 
0xf7199698 real : 0.000000 / imag : 0.000000 
0xf71996a8 real : -139.388764 / imag : 56.258306 
0xf71996b8 real : 0.000000 / imag : 0.000000 
0xf71996c8 real : 50.039752 / imag : 45.516073 
0xf71996d8 real : 0.000000 / imag : 0.000000 
0xf71996e8 real : 134.768817 / imag : 83.503147 
0xf71996f8 real : 0.000000 / imag : 0.000000 
0xf7199708 real : 8.892514 / imag : -148.169897 
0xf7199718 real : 0.000000 / imag : 0.000000 
0xf7199728 real : 36.530592 / imag : -46.665139 
0xf7199738 real : 0.000000 / imag : 0.000000 
0xf7199748 real : 14.639062 / imag : 11.517997 
0xf7199758 real : 0.000000 / imag : 0.000000 
0xf7199768 real : 9.980433 / imag : 4.841151 
