
===== doforpjh.wav =====
[] Data chunk size = 66150
[] The number of channel = 1 (mono = 1, stereo = 2)
[] Sampling rate = 22050 [Hz or samples/sec]
[] Sample resolution = 8 [bits/sample]
[] Play time = 3.000000 [sec]
Array size : 66150
Print bin end
Index : 65536
=== END ===
==== PRINT ====
0xf72139e8 real : 373.596205 / imag : 5.229068 
0xf72139f8 real : 0.000000 / imag : 0.000000 
0xf7213a08 real : -317.835400 / imag : -7686.889969 
0xf7213a18 real : 0.000000 / imag : 0.000000 
0xf7213a28 real : 262.445243 / imag : -340.453048 
0xf7213a38 real : 0.000000 / imag : 0.000000 
0xf7213a48 real : 397.054812 / imag : -768.646392 
0xf7213a58 real : 0.000000 / imag : 0.000000 
0xf7213a68 real : 349.757561 / imag : -187.001313 
0xf7213a78 real : 0.000000 / imag : 0.000000 
0xf7213a88 real : 336.056554 / imag : -1350.155020 
0xf7213a98 real : 0.000000 / imag : 0.000000 
0xf7213aa8 real : 316.560420 / imag : -175.069683 
0xf7213ab8 real : 0.000000 / imag : 0.000000 
0xf7213ac8 real : 356.398472 / imag : -344.183701 
0xf7213ad8 real : 0.000000 / imag : 0.000000 
0xf7213ae8 real : 275.606921 / imag : -79.661606 
0xf7213af8 real : 0.000000 / imag : 0.000000 
0xf7213b08 real : 345.915634 / imag : -2205.657914 
0xf7213b18 real : 0.000000 / imag : 0.000000 
0xf7213b28 real : 526.023728 / imag : -245.536137 
0xf7213b38 real : 0.000000 / imag : 0.000000 
0xf7213b48 real : 333.118917 / imag : -543.280678 
0xf7213b58 real : 0.000000 / imag : 0.000000 
0xf7213b68 real : 347.420112 / imag : -55.332467 
0xf7213b78 real : 0.000000 / imag : 0.000000 
0xf7213b88 real : 300.068196 / imag : -943.150692 
0xf7213b98 real : 0.000000 / imag : 0.000000 
0xf7213ba8 real : 354.360768 / imag : -161.960763 
0xf7213bb8 real : 0.000000 / imag : 0.000000 
0xf7213bc8 real : 309.506974 / imag : -417.047276 
0xf7213bd8 real : 0.000000 / imag : 0.000000 
0xf7213be8 real : 448.221504 / imag : 28.548631 
0xf7213bf8 real : 0.000000 / imag : 0.000000 
0xf7213c08 real : -3709.958770 / imag : -31707.829880 
0xf7213c18 real : 0.000000 / imag : 0.000000 
0xf7213c28 real : 319.148017 / imag : -323.135486 
0xf7213c38 real : 0.000000 / imag : 0.000000 
0xf7213c48 real : 337.465965 / imag : -746.082946 
